# Auto-generated extended batch A; deduped against existing asset wordlists.
# Do not duplicate lines across files; loader uses distinct() per pinyin key.
guangdongsheng 广东省
hainansheng 海南省
chongqingshi 重庆市
xizangzizhiqu 西藏自治区
gansusheng 甘肃省
qinghaisheng 青海省
ningxiahuizuzizhiqu 宁夏回族自治区
xinjiangweiwuerzizhiqu 新疆维吾尔自治区
xianggangtebiexingzhengqu 香港特别行政区
aomentebiexingzhengqu 澳门特别行政区
shanxishengjin 山西省
shanxishengxi 陕西省
guangzhoushi 广州市
shenzhenshi 深圳市
zhuhaishi 珠海市
foshanshi 佛山市
dongguanshi 东莞市
zhongshanshi 中山市
huizhoushi 惠州市
jiangmenshi 江门市
zhanjiangshi 湛江市
maomingshi 茂名市
qingyuanshi 清远市
shaoguanshi 韶关市
heyuanshi 河源市
meizhoushi 梅州市
shanweishi 汕尾市
yangjiangshi 阳江市
jieyangshi 揭阳市
yunfushi 云浮市
chaozhoushi 潮州市
shantoushi 汕头市
nanjingshi 南京市
suzhoushi 苏州市
wuxishi 无锡市
changzhoushi 常州市
zhenjiangshi 镇江市
yangzhoushi 扬州市
nantongshi 南通市
yanchengshi 盐城市
xuzhoushi 徐州市
huaianshi 淮安市
lianyungangshi 连云港市
suqianshi 宿迁市
taizhoushi 泰州市
hangzhoushi 杭州市
ningboshi 宁波市
wenzhoushi 温州市
jiaxingshi 嘉兴市
huzhoushi 湖州市
shaoxingshi 绍兴市
jinhuashi 金华市
quzhoushi 衢州市
zhoushanshi 舟山市
taizhoushizj 台州市
lishuishi 丽水市
hefeishi 合肥市
wuhushi 芜湖市
bangbushi 蚌埠市
huainanshi 淮南市
maanshanshi 马鞍山市
huaibeishi 淮北市
tonglingshi 铜陵市
anqingshi 安庆市
huangshanshi 黄山市
chuzhoushi 滁州市
fuyangshi 阜阳市
suzhoushi 宿州市
luanshi 六安市
bozhoushi 亳州市
chizhoushi 池州市
xuanchengshi 宣城市
wuhanishi 武汉市
xiangyangshi 襄阳市
yichangshi 宜昌市
jingzhoushi 荆州市
huanggangshi 黄冈市
shiyaoshi 十堰市
xiaoganshi 孝感市
jingmenshi 荆门市
suizhoushi 随州市
changshashi 长沙市
zhuzhoushi 株洲市
xiangtanshi 湘潭市
hengyangshi 衡阳市
shaoyangshi 邵阳市
yueyangshi 岳阳市
changdeshi 常德市
zhangjiajieshi 张家界市
yiyangshi 益阳市
chenzhoushi 郴州市
yongzhoushi 永州市
huaihuashi 怀化市
loudishi 娄底市
chengdushi 成都市
zigongshi 自贡市
panzhihuashi 攀枝花市
luzhoushi 泸州市
deyangshi 德阳市
mianyangshi 绵阳市
guangyuanshi 广元市
suiningshi 遂宁市
leshanshi 乐山市
nanchongshi 南充市
meishanshi 眉山市
yibinshi 宜宾市
guanganshi 广安市
dazhoushi 达州市
yaanshi 雅安市
bazhongshi 巴中市
ziyangshi 资阳市
guiyangshi 贵阳市
zunyishi 遵义市
anshunshi 安顺市
kunmingshi 昆明市
qujingshi 曲靖市
yuxishi 玉溪市
baoshanshi 保山市
zhaotongshi 昭通市
puershi 普洱市
lijiangshi 丽江市
lincangshi 临沧市
nanningshi 南宁市
liuzhoushi 柳州市
guilinshi 桂林市
wuzhoushi 梧州市
beihashi 北海市
fangchenggangshi 防城港市
qinzhoushi 钦州市
guigangshi 贵港市
yulinshi 玉林市
baiseshi 百色市
hezhoushi 贺州市
hechishi 河池市
laibinshi 来宾市
chongzuoshi 崇左市
haikoushi 海口市
sanyashi 三亚市
sanshashi 三沙市
danzhoushi 儋州市
renda 人大
zhengxie 政协
fagui 法规
tiaoli 条例
xianfa 宪法
minfa 民法
xingshi 刑事
minshi 民事
susong 诉讼
anjian 案件
shenpan 审判
luoshi 律师
gongsu 公诉
beigaoren 被告人
yuangaoren 原告人
feibang 诽谤
zhapian 诈骗
daoqie 盗窃
qiangjie 抢劫
dupin 毒品
jidu 吸毒
maizuiyin 卖淫嫖娼
xingshizeren 刑事责任
xingzhengchufa 行政处罚
xukezheng 许可证
zhizhao 执照
toubiao 投标
zhaobiao 招标
hetongfa 合同法
laodongfa 劳动法
shehuibaozhang 社会保障
yanglaojin 养老金
yibaoka 医保卡
hukou 户口
juzhuzheng 居住证
canbaodi 参保地
youeryuan 幼儿园
xiaoxue 小学
chuzhong 初中
gaozhong 高中
zhongkao 中考
gaokao 高考
zhuanye 专业
xueke 学科
keben 课本
xuefen 学分
xueli 学历
benke 本科
shuoshi 硕士
yanjiusheng 研究生
lunwen 论文
