# 网络、应用、日常生活高频词（拼音全小写无空格）
weixin 微信
weixinxiaochengxu 微信小程序
zhifubao 支付宝
yinlian 银联
yinhangka 银行卡
yinhang 银行
zhifubaomima 支付宝密码
erweima 二维码
saoma 扫码
shenfenzheng 身份证
jiankangma 健康码
xingchengka 行程卡
hesuan 核酸
hesuanjiance 核酸检测
yimiao 疫苗
jiezhong 接种
yuyue 预约
guahao 挂号
menzhen 门诊
jiuzhen 急诊
bingfang 病房
yaopin 药品
chufang 处方
duanshipin 短视频
zhibo 直播
dianzan 点赞
pinglun 评论
zhuanfa 转发
shoucang 收藏
guanzhu 关注
sixin 私信
laxin 拉新
shuafen 刷分
shuaping 刷屏
wanghong 网红
bozhu 博主
upzhu UP主
bilibili 哔哩哔哩
douyin 抖音
kuaishou 快手
xiaohongshu 小红书
tieba 贴吧
weibo 微博
tiezi 帖子
luntan 论坛
sousuo 搜索
paihang 排行
remen 热门
tuikan 推送
dingyue 订阅
xiazai 下载
shangchuan 上传
yunpan 云盘
wangpan 网盘
beifen 备份
huifu 恢复
gengxin 更新
shengji 升级
banben 版本
buchong 补丁
wifi WiFi
liuliang 流量
taocan 套餐
manyou 漫游
xinhao 信号
duanwang 断网
chonglian 重连
reidian 热点
lanya 蓝牙
saomiao 扫描
dayinji 打印机
shexiangtou 摄像头
jianpan 键盘
shubiao 鼠标
xianshiqi 显示器
zhuji 主机
yingpan 硬盘
neicun 内存
xianka 显卡
wangxian 网线
luyouqi 路由器
fanghuoqiang 防火墙
bingdu 病毒
shadu 杀毒
wenjianjia 文件夹
yasuobao 压缩包
jieya 解压
wendang 文档
biaoge 表格
touxiang 头像
nicheng 昵称
mima 密码
yanzhengma 验证码
shoujihao 手机号
youxiang 邮箱
zhuce 注册
denglu 登录
tuichu 退出
zhuxiao 注销
bangding 绑定
jiebang 解绑
xiugai 修改
chongzhi 重置
zhifu 支付
tuikuan 退款
tuikuanzhong 退款中
peisong 配送
waimai 外卖
kuaidi 快递
kuaidiyuan 快递员
qujianma 取件码
lanhuo 揽货
qianshou 签收
tuotou 妥投
chexiao 撤销
dingdan 订单
xiadan 下单
jiesuan 结算
youhuiquan 优惠券
manjian 满减
miaosha 秒杀
tuangou 团购
pinpin 拼拼
pingduoduo 拼多多
taobao 淘宝
tianmao 天猫
jingdong 京东
meituan 美团
eleme 饿了么
shunfeng 顺丰
yuantong 圆通
zhongtong 中通
yunda 韵达
shentong 申通
baoyou 包邮
yunfei 运费
huopin 货品
shouhou 售后
kefu 客服
tousu 投诉
jubao 举报
fengjin 封禁
jinyan 禁言
heping 和平
youxi 游戏
paiduizhong 排队中
luodi 落地
kaifang 开放
neice 内测
gongce 公测
tiyan 体验
fankui 反馈
jianyi 建议
zenmeban 怎么办
keyima 可以吗
xingla 行啦
haode 好的
haobei 好呗
zhidaole 知道了
mingbai 明白
liaojie 了解
shoudao 收到
anpai 安排
xiuxi 休息
jiaqi 假期
chuqin 出勤
jiaban 加班
chidao 迟到
qingjia 请假
tiaoxiu 调休
nianjia 年假
gongzi 工资
jiangjin 奖金
baoxiao 报销
kaipiao 开票
fapiao 发票
hetong 合同
shenpi 审批
huiyi 会议
zhibohui 直播会
wangke 网课
zuoye 作业
kaoshi 考试
chengji 成绩
baoming 报名
luqu 录取
zhaopin 招聘
jianli 简历
mianshi 面试
ruzhi 入职
lizhi 离职
baoshui 报税
shebao 社保
gongjijin 公积金
fangdai 房贷
chedai 车贷
ershou 二手
zufang 租房
maifang 买房
zhuangxiu 装修
jiaju 家具
jiadian 家电
kongtiao 空调
xiyiji 洗衣机
bingxiang 冰箱
weibolu 微波炉
diancifan 电饭煲
yaliguo 压力锅
kongqizhaguo 空气炸锅
paobuji 跑步机
yujia 瑜伽
jiangyou 酱油
cu 醋
yan 盐
tang 糖
lajiao 辣椒
huajiao 花椒
dacong 大葱
shengjiang 生姜
dasuan 大蒜
qingcai 青菜
bocai 菠菜
xihongshi 西红柿
tudou 土豆
qiezi 茄子
huanggua 黄瓜
mogu 蘑菇
doufu 豆腐
jidan 鸡蛋
niunai 牛奶
doujiang 豆浆
zhou 粥
mantou 馒头
baozi 包子
jiaozi 饺子
miantiao 面条
huoguo 火锅
shaokao 烧烤
malatang 麻辣烫
hanbao 汉堡
shutiao 薯条
kele 可乐
naicha 奶茶
guozhi 果汁
